ID;Модуль;Название;Шаги;Ожидаемый результат;Автоматизирован;Причина непокрытия (если нет)
1;Авторизация;Успешная авторизация;1. Ввести логин 'login2'. 2. Ввести пароль 'password2'. 3. Нажать кнопку SIGN IN;Открывается главный экран со списком новостей;Да;
2;Авторизация;Авторизация с пустыми полями;1. Оставить поле логина пустым. 2. Оставить поле пароля пустым. 3. Нажать кнопку SIGN IN;Появление всплывающего предупреждения (Toast) о том, что поля не могут быть пустыми;Да;
3;Навигация;Переход в раздел Our Mission;1. На главном экране нажать на иконку бабочки в верхнем меню;Открывается экран 'Our Mission' с тематическими цитатами;Да;
4;Навигация;Переход в раздел About;1. Нажать на иконку бургер-меню (три полоски). 2. В выпадающем списке нажать 'About';Открывается экран с информацией о приложении и ссылками;Да;
5;Профиль;Выход из аккаунта (Log out);1. Нажать на иконку человечка в верхнем правом углу. 2. Нажать 'Log out';Происходит выход из системы, открывается экран авторизации;Да;
6;Управление новостями;Создание новой новости;1. Открыть Control panel. 2. Нажать кнопку '+'. 3. Заполнить все поля. 4. Нажать Save;Новость появляется в общем списке;Нет;Сложный флоу работы со стандартным системным календарем (DatePicker) Android, временно отложено для проверки вручную
